Date,USD_CNY,VND_CNY_1k,Flight_Today,Fixed_Flight,VN_Index,VJ_Today,VJ_Fixed,Fixed_0131,Fixed_0202,Fixed_0213,Fixed_0214,US_Index,CN_Index
2026-05-16,6.8087,0.2584,1487,2421,1912.0,907,,1500,2421,3198,1998,7408.5,4135.3892
2026-05-17,6.8087,0.2584,1487,2421,1913.0,907,,1500,2421,3198,1998,7408.5,4135.3892
2026-05-18,6.8127,0.2585,1487,2420,1920.0,0,,1500,2420,3198,1998,7408.5,4126.3545
2026-05-19,6.8012,0.2583,1485,2417,1915.0,847,,1498,2417,3198,1998,7403.0498,4132.4585
2026-05-20,6.8005,0.258,1349,2416,1913.23,725,,1498,2416,3198,1998,7422.3101,4169.5381
2026-05-21,6.7997,0.258,1349,2417,1898.51,725,,1498,2417,3198,1998,7432.9702,4162.3706
2026-05-22,6.7986,0.258,1350,2419,1864.97,0,,1500,2419,3198,1998,7445.7202,4096.2378
2026-05-23,6.794,0.2579,1484,2415,1877.13,724,,1497,2415,3198,1998,7473.4702,4112.8989
2026-05-24,6.794,0.2579,1348,2415,1877.13,724,,1497,2415,3198,1998,7473.4702,4112.8989
2026-05-25,6.7801,0.2574,1484,2415,1879.14,0,,1497,2415,3198,1998,7473.4702,4146.9331
2026-05-26,6.7865,0.2578,1485,2416,1880.89,846,,1498,2416,3198,1998,7473.4702,4117.8491
2026-05-27,6.7798,0.2578,1483,2415,1868.43,0,,1497,2415,3198,1998,7519.1201,4099.2305
2026-05-28,6.7844,0.2582,1346,2413,1859.0,845,,1496,2413,3198,1998,7520.3599,4087.8557
2026-05-29,6.7697,0.2572,1483,2414,1863.23,724,,1496,2414,3198,1998,7563.6299,4083.6179
2026-05-30,6.7657,0.2577,1481,2410,1863.49,0,,1494,2410,3198,1998,7580.0601,4068.5691
2026-05-31,6.7657,0.2577,1481,2410,1863.49,844,,1494,2410,3198,1998,7580.0601,4068.5691
2026-06-01,6.7654,0.2577,1480,2410,1853.04,723,,1493,2410,3198,1998,7580.0601,4062.6174
2026-06-02,6.7614,0.2574,1479,2408,1836.1,722,,1492,2408,3197,1997,7599.96,4068.6731
2026-06-03,6.7687,0.2575,1614,2406,1819.01,722,,1491,2406,3197,1997,7609.7798,4083.9741
2026-06-04,6.7746,0.2577,1854,2410,1818.66,843,,1494,2410,3197,1997,7553.6802,4057.001
2026-06-05,6.7737,0.2578,1481,2411,1843.09,844,,1494,2411,3197,1997,7553.6802,4075.3147
2026-06-06,6.766,0.2576,1480,2409,1838.9,843,,1493,2409,3197,1997,7383.7402,4027.7361
2026-06-07,6.766,0.2576,1480,2409,1838.9,1203,,1493,2409,3197,1997,7383.7402,4027.7361
2026-06-08,6.7825,0.2582,1479,2408,1799.22,986,,1493,2408,3197,1997,7383.7402,3972.7588
2026-06-09,6.7752,0.2578,1484,2415,1792.6,845,,1497,2415,3198,1998,7405.73,3979.6765
2026-06-10,6.7742,0.2579,1483,2413,1801.26,626,,1496,2413,3197,1997,7405.73,3986.6611
2026-06-11,6.7737,0.2579,1483,2413,1796.99,723,,1496,2413,3198,1998,7386.6499,3974.6191
2026-06-12,6.7626,0.2568,1482,2413,1803.19,723,,1496,2413,3197,1997,7394.2998,4043.0332
2026-06-13,6.7621,0.2576,1482,2414,1791.65,723,,1496,2414,3198,1998,7431.46,4031.5129
2026-06-14,6.7621,0.2576,1482,2414,1791.65,844,,1496,2414,3198,1998,7431.46,4031.5129
2026-06-15,6.7567,0.2574,1484,2416,1796.91,626,,1497,2416,3198,1998,7431.46,4080.6724
2026-06-16,6.7594,0.2577,1482,2412,1807.09,723,,1495,2412,3197,1997,7431.46,4094.3499
2026-06-17,6.7557,0.2575,1480,2409,1788.61,722,,1493,2409,3197,1997,7511.3501,4092.6902
2026-06-18,6.7611,0.2574,1344,2410,1835.42,742,,1493,2410,3197,1997,7420.1001,4098.8384
2026-06-19,6.7675,0.257,1481,2412,1824.48,646,,1495,2412,3197,1997,7500.5801,4090.481
2026-06-20,6.7681,0.257,1347,2415,1824.53,744,,1497,2415,3197,1997,7500.5801,4090.481
2026-06-21,6.7647,0.2569,1347,2415,1824.53,744,,1497,2415,3197,1997,7420.1001,4108.0762
2026-06-22,6.7742,0.2572,1347,2414,1858.64,646,,1496,2414,3197,1997,7500.5801,4150.0679
2026-06-23,6.7773,0.2575,1348,2416,1878.14,647,,1498,2416,3197,1997,7472.79,4147.5493
2026-06-24,6.8022,0.259,1351,2422,1865.69,648,,1501,2422,3197,1997,7365.46,4096.1367
2026-06-25,6.8025,0.2584,1351,2422,1861.84,648,,1501,2763,3198,3198,7358.2202,4125.7554
2026-06-26,6.8016,0.2585,1492,2429,1855.99,748,,1505,2771,3198,3198,7357.4902,4032.2986
2026-06-27,6.7897,0.2587,1491,2428,1871.91,869,,1505,2770,3198,3198,7354.02,4027.2649
2026-06-28,6.7897,0.2587,1491,2428,1871.91,748,,1505,2770,3198,3198,7354.02,4027.2649
2026-06-29,6.7988,0.2591,1492,2429,1856.74,650,,1506,2771,3198,3198,7354.02,4020.3325
2026-06-30,6.7796,0.2583,1491,2426,1858.52,649,,1504,2768,3198,3198,7440.4302,4082.1301
2026-07-01,6.7934,0.2588,1354,2426,1869.34,648,,1504,2767,3198,3198,7499.3599,4135.105
2026-07-02,6.7741,0.2576,1491,2428,1869.42,649,,1505,2770,3198,3198,7483.23,4075.3113
2026-07-03,6.7804,0.258,1353,2426,1859.09,648,,1503,2767,3198,3198,7483.2402,4056.7827
2026-07-04,6.7702,0.2575,1353,2426,1862.08,747,,1503,2767,3198,3198,7483.2402,4043.6431
2026-07-05,6.7702,0.2575,1354,2426,1862.08,868,,1503,2767,3198,3198,7483.2402,4043.6431
2026-07-06,6.7874,0.2581,1353,2425,1860.16,746,,1503,2766,3198,3198,7483.2402,4046.7051
2026-07-07,6.7926,0.2583,1354,2428,1827.82,747,,1505,2770,3198,3198,7537.4302,3999.0303
2026-07-08,6.7958,0.2585,1354,2428,1853.16,649,,1505,2770,3198,3198,7503.8501,4011.0515
2026-07-09,6.7978,0.2585,1356,2431,1844.75,650,,1507,2773,3198,3198,7482.71,3952.4917
2026-07-10,6.7783,0.2578,1355,2429,1833.18,649,,1506,2771,3198,3198,7543.6401,4067.0706
