Date,FPT,Vietcombank,Vinamilk,Hoa Phat,Mobile World,BIDV,Vinhomes,Masan,PV Gas,SSI
2026-05-16,72900.0,60700.0,59800.0,26550.0,82000.0,42950.0,158000.0,77500.0,89400.0,27900.0
2026-05-17,72900.0,60700.0,59800.0,26550.0,82000.0,42950.0,158000.0,77500.0,89400.0,27900.0
2026-05-18,73700.0,61500.0,59900.0,26400.0,79500.0,43950.0,156200.0,76800.0,93200.0,27850.0
2026-05-19,75100.0,64700.0,60100.0,26500.0,78200.0,45650.0,153900.0,76800.0,93400.0,28200.0
2026-05-20,77700.0,64600.0,59100.0,26200.0,77200.0,43900.0,159900.0,75600.0,89700.0,27250.0
2026-05-21,76500.0,65700.0,59100.0,26550.0,78200.0,44000.0,158100.0,76100.0,87300.0,27250.0
2026-05-22,77000.0,64000.0,58800.0,26450.0,79400.0,42900.0,152000.0,76000.0,86000.0,26900.0
2026-05-23,75100.0,63500.0,59500.0,26350.0,79400.0,43000.0,153800.0,76000.0,84900.0,27550.0
2026-05-24,75100.0,63500.0,59500.0,26350.0,79400.0,43000.0,153800.0,76000.0,84900.0,27550.0
2026-05-25,73900.0,62900.0,59100.0,24200.0,78600.0,42600.0,155300.0,76200.0,81200.0,27600.0
2026-05-26,74000.0,63900.0,59300.0,24100.0,78500.0,43400.0,156400.0,76900.0,83200.0,27650.0
2026-05-27,73900.0,63900.0,59000.0,24350.0,79900.0,43350.0,148900.0,77200.0,82200.0,27950.0
2026-05-28,71600.0,63300.0,59300.0,24050.0,79500.0,42800.0,145700.0,76300.0,83100.0,27800.0
2026-05-29,72200.0,62100.0,59100.0,24100.0,76000.0,41950.0,157900.0,75200.0,82500.0,27850.0
2026-05-30,71600.0,62000.0,59200.0,24000.0,76300.0,42000.0,156000.0,74700.0,87400.0,27500.0
2026-05-31,71600.0,62000.0,59200.0,24000.0,76300.0,42000.0,156000.0,74700.0,87400.0,27500.0
2026-06-01,72600.0,62100.0,59100.0,24100.0,77100.0,42100.0,153100.0,74500.0,86600.0,27600.0
2026-06-02,74900.0,62100.0,59000.0,23850.0,78300.0,41600.0,152300.0,74400.0,84500.0,27400.0
2026-06-03,76500.0,61900.0,58300.0,24150.0,78500.0,41900.0,148400.0,75100.0,84500.0,27300.0
2026-06-04,76400.0,62100.0,58600.0,23950.0,77100.0,42250.0,148300.0,74000.0,86200.0,27050.0
